col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric
Flujo Aire Reactor 2,numeric,2.983735344239709,0.2,psi,True,,,,,,,planta2,golden,psi
Flujo Aire Reactor 3,numeric,1.4775982287767213,0.2,psi,True,,,,,,,planta2,golden,psi
Flujo Alimentación Digestor 1,numeric,1.16654994578379,0.2,psi,True,,,,,,,planta2,golden,psi
Flujo Alimentación Digestor 2,numeric,12.704453224515419,0.2,psi,True,,,,,,,planta2,golden,psi
Flujo Alimentación Digestor 3,numeric,1.742639468612163,0.2,psi,True,,,,,,,planta2,golden,psi
Flujo Cámara de contacto 1,numeric,0.6890707329080155,0.2,psi,True,,,,,,,planta2,golden,psi
Flujo Cámara de contacto 2,numeric,2.0529562288070036,0.2,psi,True,,,,,,,planta2,golden,psi
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,inf,0.2,psi,True,,,,,,,planta2,golden,psi
Nivel Pozo WAS,numeric,0.0,0.2,psi,False,,,,,,,planta2,golden,psi
OD Reactor 1,numeric,0.0,0.2,psi,False,,,,,,,planta2,golden,psi
OD Reactor 2,categorical,0.9129187279622397,0.2,psi,True,,,,,,,planta2,golden,psi
Flujo Afluente PTAR,numeric,1291.6504967619153,272.5303110442638,wasserstein,True,,,,,,,planta2,golden,wasserstein
Flujo Aire Reactor 2,numeric,709.7894704852627,17.11021625641451,wasserstein,True,,,,,,,planta2,golden,wasserstein
Flujo Aire Reactor 3,numeric,906.8024253082634,269.91387335124114,wasserstein,True,,,,,,,planta2,golden,wasserstein
Flujo Alimentación Digestor 1,numeric,7.974290219077806,2.6993955837894044,wasserstein,True,,,,,,,planta2,golden,wasserstein
Flujo Alimentación Digestor 2,numeric,9.337008864164522,2.0451740647620262,wasserstein,True,,,,,,,planta2,golden,wasserstein
Flujo Alimentación Digestor 3,numeric,4.807636700205607,0.7240312264174585,wasserstein,True,,,,,,,planta2,golden,wasserstein
Flujo Cámara de contacto 1,numeric,336.810225272787,77.26671019712482,wasserstein,True,,,,,,,planta2,golden,wasserstein
Flujo Cámara de contacto 2,numeric,286.4445960266892,75.64624032984344,wasserstein,True,,,,,,,planta2,golden,wasserstein
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,5.319167514857738,0.40231606976628254,wasserstein,True,,,,,,,planta2,golden,wasserstein
Nivel Pozo WAS,numeric,1.0068836563663017,0.061752622140367704,wasserstein,True,,,,,,,planta2,golden,wasserstein
OD Reactor 1,numeric,11.112186046511628,2.319180260577507e-16,wasserstein,True,,,,,,,planta2,golden,wasserstein
OD Reactor 2,categorical,0.9129187279622397,0.2,wasserstein,True,,,,,,,planta2,golden,wasserstein
Flujo Afluente PTAR,numeric,0.27211087420042646,0.15,ks,True,,,,,,,planta2,seasonal,ks
Flujo Aire Reactor 2,numeric,0.6144862570770804,0.15,ks,True,,,,,,,planta2,seasonal,ks
Flujo Aire Reactor 3,numeric,0.13116930350972905,0.15,ks,False,,,,,,,planta2,seasonal,ks
Flujo Alimentación Digestor 1,numeric,0.2275006218009975,0.15,ks,True,,,,,,,planta2,seasonal,ks
Flujo Alimentación Digestor 2,numeric,0.12215320910973085,0.15,ks,False,,,,,,,planta2,seasonal,ks
Flujo Alimentación Digestor 3,numeric,0.122412704252123,0.15,ks,False,,,,,,,planta2,seasonal,ks
Flujo Cámara de contacto 1,numeric,0.2704280155642023,0.15,ks,True,,,,,,,planta2,seasonal,ks
Flujo Cámara de contacto 2,numeric,0.26990291262135924,0.15,ks,True,,,,,,,planta2,seasonal,ks
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.8185328185328186,0.15,ks,True,,,,,,,planta2,seasonal,ks
Nivel Pozo WAS,numeric,0.728030283826375,0.15,ks,True,,,,,,,planta2,seasonal,ks
OD Reactor 1,numeric,0.10723514211886305,0.15,ks,False,,,,,,,planta2,seasonal,ks
Flujo Afluente PTAR,numeric,0.48323164397791263,0.55,mannwhitney,False,,,,,,,planta2,seasonal,mannwhitney
Flujo Aire Reactor 2,numeric,0.21713327460873388,0.55,mannwhitney,False,,,,,,,planta2,seasonal,mannwhitney
Flujo Aire Reactor 3,numeric,0.4581963766139298,0.55,mannwhitney,False,,,,,,,planta2,seasonal,mannwhitney
Flujo Alimentación Digestor 1,numeric,0.48448606511238235,0.55,mannwhitney,False,,,,,,,planta2,seasonal,mannwhitney
Flujo Alimentación Digestor 2,numeric,0.5664596273291925,0.55,mannwhitney,True,,,,,,,planta2,seasonal,mannwhitney
Flujo Alimentación Digestor 3,numeric,0.5158652932340048,0.55,mannwhitney,False,,,,,,,planta2,seasonal,mannwhitney
Flujo Cámara de contacto 1,numeric,0.5149521363869711,0.55,mannwhitney,False,,,,,,,planta2,seasonal,mannwhitney
Flujo Cámara de contacto 2,numeric,0.5532229049235378,0.55,mannwhitney,True,,,,,,,planta2,seasonal,mannwhitney
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.8189733300989845,0.55,mannwhitney,True,,,,,,,planta2,seasonal,mannwhitney
Nivel Pozo WAS,numeric,0.8447069493382454,0.55,mannwhitney,True,,,,,,,planta2,seasonal,mannwhitney
OD Reactor 1,numeric,0.46834625322997414,0.55,mannwhitney,False,,,,,,,planta2,seasonal,mannwhitney
Flujo Afluente PTAR,numeric,3.1633841867972725,0.2,psi,True,,,,,,,planta2,seasonal,psi
Flujo Aire Reactor 2,numeric,1.7464124818165256,0.2,psi,True,,,,,,,planta2,seasonal,psi
Flujo Aire Reactor 3,numeric,0.2235425422904011,0.2,psi,True,,,,,,,planta2,seasonal,psi
Flujo Alimentación Digestor 1,numeric,0.5405176750768187,0.2,psi,True,,,,,,,planta2,seasonal,psi
Flujo Alimentación Digestor 2,numeric,0.1651529591475076,0.2,psi,False,,,,,,,planta2,seasonal,psi
Flujo Alimentación Digestor 3,numeric,0.24334060111665431,0.2,psi,True,,,,,,,planta2,seasonal,psi
Flujo Cámara de contacto 1,numeric,3.4651706885310407,0.2,psi,True,,,,,,,planta2,seasonal,psi
Flujo Cámara de contacto 2,numeric,2.9936762813892894,0.2,psi,True,,,,,,,planta2,seasonal,psi
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,11.708688239047715,0.2,psi,True,,,,,,,planta2,seasonal,psi
Nivel Pozo WAS,numeric,5.894247516209219,0.2,psi,True,,,,,,,planta2,seasonal,psi
OD Reactor 1,numeric,0.11234876925153518,0.2,psi,False,,,,,,,planta2,seasonal,psi
Flujo Afluente PTAR,numeric,483.6373879885589,440.5916107261406,wasserstein,True,,,,,,,planta2,seasonal,wasserstein
Flujo Aire Reactor 2,numeric,533.4771642375473,43.51897729455707,wasserstein,True,,,,,,,planta2,seasonal,wasserstein
Flujo Aire Reactor 3,numeric,174.80098730072132,1175.4593439414894,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Alimentación Digestor 1,numeric,1.1718323137958797,3.324276721893232,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Alimentación Digestor 2,numeric,0.003936480361482361,0.004322841304214796,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Alimentación Digestor 3,numeric,0.41228712532064055,3.280115118660848,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Cámara de contacto 1,numeric,252.03674799886895,232.64790454850612,wasserstein,True,,,,,,,planta2,seasonal,wasserstein
Flujo Cámara de contacto 2,numeric,240.9593543082837,244.48285679564492,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,19.620790121972874,6.493300374742781,wasserstein,True,,,,,,,planta2,seasonal,wasserstein
Nivel Pozo WAS,numeric,0.6965011162255766,0.39330145984138654,wasserstein,True,,,,,,,planta2,seasonal,wasserstein
OD Reactor 1,numeric,0.5775193798449613,1.9159205708971674,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Energía Total Activa Bombas Elevadoras,numeric,0.9717392603214435,0.15,ks,True,,,,,,,planta3,decay,ks
Nivel pozo,numeric,0.4907155010603029,0.15,ks,True,,,,,,,planta3,decay,ks
Presión pozo,numeric,0.8077313736033936,0.15,ks,True,,,,,,,planta3,decay,ks
Falla Asimetría Pozo,categorical,0.0005667300310506351,0.2,ks,False,,,,,,,planta3,decay,ks
Falla Pozo,categorical,0.0005667300310506351,0.2,ks,False,,,,,,,planta3,decay,ks
Energía Total Activa Bombas Elevadoras,numeric,0.011188289867796474,0.55,mannwhitney,False,,,,,,,planta3,decay,mannwhitney
Nivel pozo,numeric,0.2039145178267592,0.55,mannwhitney,False,,,,,,,planta3,decay,mannwhitney
Presión pozo,numeric,0.9043704705608209,0.55,mannwhitney,True,,,,,,,planta3,decay,mannwhitney
Falla Asimetría Pozo,categorical,0.0005667300310506351,0.2,mannwhitney,False,,,,,,,planta3,decay,mannwhitney
Falla Pozo,categorical,0.0005667300310506351,0.2,mannwhitney,False,,,,,,,planta3,decay,mannwhitney
Energía Total Activa Bombas Elevadoras,numeric,10.32375312074595,0.2,psi,True,,,,,,,planta3,decay,psi
Nivel pozo,numeric,6.024934616667858,0.2,psi,True,,,,,,,planta3,decay,psi
Presión pozo,numeric,11.2451619037309,0.2,psi,True,,,,,,,planta3,decay,psi
Falla Asimetría Pozo,categorical,0.0005667300310506351,0.2,psi,False,,,,,,,planta3,decay,psi
Falla Pozo,categorical,0.0005667300310506351,0.2,psi,False,,,,,,,planta3,decay,psi
Energía Total Activa Bombas Elevadoras,numeric,2.9500989208330157,0.7444320231860616,wasserstein,True,,,,,,,planta3,decay,wasserstein
Nivel pozo,numeric,0.1972203538456434,0.16081046296003842,wasserstein,True,,,,,,,planta3,decay,wasserstein
Presión pozo,numeric,2.7802332102149103,0.6827906395723465,wasserstein,True,,,,,,,planta3,decay,wasserstein
Falla Asimetría Pozo,categorical,0.0005667300310506351,0.2,wasserstein,False,,,,,,,planta3,decay,wasserstein
Falla Pozo,categorical,0.0005667300310506351,0.2,wasserstein,False,,,,,,,planta3,decay,wasserstein
Energía Total Activa Bombas Elevadoras,numeric,1.0,0.15,ks,True,,,,,,,planta3,golden,ks
Nivel pozo,numeric,0.7216666666666667,0.15,ks,True,,,,,,,planta3,golden,ks
Presión pozo,numeric,1.0,0.15,ks,True,,,,,,,planta3,golden,ks
Energía Total Activa Bombas Elevadoras,numeric,0.0,0.55,mannwhitney,False,,,,,,,planta3,golden,mannwhitney
Nivel pozo,numeric,0.19776479558193208,0.55,mannwhitney,False,,,,,,,planta3,golden,mannwhitney
Presión pozo,numeric,1.0,0.55,mannwhitney,True,,,,,,,planta3,golden,mannwhitney
Energía Total Activa Bombas Elevadoras,numeric,inf,0.2,psi,True,,,,,,,planta3,golden,psi
Nivel pozo,numeric,0.0,0.2,psi,False,,,,,,,planta3,golden,psi
Presión pozo,numeric,inf,0.2,psi,True,,,,,,,planta3,golden,psi
Energía Total Activa Bombas Elevadoras,numeric,2.233209693372898,0.07809502135411867,wasserstein,True,,,,,,,planta3,golden,wasserstein
Nivel pozo,numeric,0.10763152818991045,0.15924605773789122,wasserstein,False,,,,,,,planta3,golden,wasserstein
Presión pozo,numeric,3.4771409495548964,0.0807290160593894,wasserstein,True,,,,,,,planta3,golden,wasserstein
Energía Total Activa Bombas Elevadoras,numeric,1.0,0.15,ks,True,,,,,,,planta3,seasonal,ks
Nivel pozo,numeric,0.6362512363996043,0.15,ks,True,,,,,,,planta3,seasonal,ks
Presión pozo,numeric,1.0,0.15,ks,True,,,,,,,planta3,seasonal,ks
Energía Total Activa Bombas Elevadoras,numeric,0.0,0.55,mannwhitney,False,,,,,,,planta3,seasonal,mannwhitney
Nivel pozo,numeric,0.10960682492581603,0.55,mannwhitney,False,,,,,,,planta3,seasonal,mannwhitney
Presión pozo,numeric,1.0,0.55,mannwhitney,True,,,,,,,planta3,seasonal,mannwhitney
Energía Total Activa Bombas Elevadoras,numeric,inf,0.2,psi,True,,,,,,,planta3,seasonal,psi
Nivel pozo,numeric,0.39886625103068374,0.2,psi,True,,,,,,,planta3,seasonal,psi
Presión pozo,numeric,inf,0.2,psi,True,,,,,,,planta3,seasonal,psi
Energía Total Activa Bombas Elevadoras,numeric,3.708209693372898,0.7531446678801507,wasserstein,True,,,,,,,planta3,seasonal,wasserstein
Nivel pozo,numeric,0.26607319485657743,0.017573375583870034,wasserstein,True,,,,,,,planta3,seasonal,wasserstein
Presión pozo,numeric,3.39597428288823,0.01650481637539274,wasserstein,True,,,,,,,planta3,seasonal,wasserstein
