window,strategy,metric,variable,episode_id,seg_start,seg_end,seg_length,stat_max
12H,decay,mannwhitney,var_4,1,2025-01-06 12:00:00,2025-01-07 00:00:00,0 days 12:00:00,0.5651264444091807
12H,decay,mannwhitney,var_5,1,2025-01-10 00:00:00,2025-01-11 00:00:00,1 days 00:00:00,0.5736086477016472
12H,decay,mannwhitney,var_8,1,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,0.5661012678398093
12H,decay,mannwhitney,var_9,1,2025-01-04 00:00:00,2025-01-04 12:00:00,0 days 12:00:00,0.57220603361076
12H,decay,mannwhitney,var_9,2,2025-01-06 00:00:00,2025-01-06 12:00:00,0 days 12:00:00,0.5928750610473357
12H,decay,mannwhitney,var_9,3,2025-01-07 00:00:00,2025-01-07 12:00:00,0 days 12:00:00,0.5805967689380945
12H,decay,psi,var_1,1,2025-01-13 12:00:00,2025-01-20 12:00:00,7 days 00:00:00,11.622223513661172
12H,decay,psi,var_10,1,2025-01-06 12:00:00,2025-01-20 12:00:00,14 days 00:00:00,11.699318011564497
12H,decay,psi,var_2,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,11.621915488500088
12H,decay,psi,var_3,1,2025-01-15 00:00:00,2025-01-20 12:00:00,5 days 12:00:00,11.317472925505038
12H,decay,psi,var_4,1,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,12.433724912775775
12H,decay,psi,var_5,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,12.433715434714593
12H,decay,psi,var_6,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,10.400142712658985
12H,decay,psi,var_7,1,2025-01-02 12:00:00,2025-01-09 00:00:00,6 days 12:00:00,4.162463500195908
12H,decay,psi,var_7,2,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.2585492720566309
12H,decay,psi,var_7,3,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,12.433034447167433
12H,decay,psi,var_8,1,2025-01-07 12:00:00,2025-01-08 00:00:00,0 days 12:00:00,0.20477811144489713
12H,decay,psi,var_8,2,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,12.433118297805649
12H,decay,psi,var_9,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,10.156760006462166
12H,decay,wasserstein,var_1,1,2025-01-13 12:00:00,2025-01-20 12:00:00,7 days 00:00:00,2.9236193178780887
12H,decay,wasserstein,var_10,1,2025-01-06 12:00:00,2025-01-20 12:00:00,14 days 00:00:00,3.749852826826052
12H,decay,wasserstein,var_2,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,2.3380582307125324
12H,decay,wasserstein,var_3,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,2.52193799341509
12H,decay,wasserstein,var_4,1,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,6.023475026188118
12H,decay,wasserstein,var_5,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,2.321577408660078
12H,decay,wasserstein,var_6,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,2.4455700349811718
12H,decay,wasserstein,var_7,1,2025-01-02 12:00:00,2025-01-05 12:00:00,3 days 00:00:00,0.9521483431611961
12H,decay,wasserstein,var_7,2,2025-01-06 00:00:00,2025-01-06 12:00:00,0 days 12:00:00,0.4170825474003319
12H,decay,wasserstein,var_7,3,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,2.7546503983710116
12H,decay,wasserstein,var_8,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,4.3951973164974865
12H,decay,wasserstein,var_9,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,2.268642675777735
12H,golden,ks,var_1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,0 days 12:00:00,0.21727346278317153
12H,golden,ks,var_1,2,2025-01-03 00:00:00,2025-01-03 12:00:00,0 days 12:00:00,0.15458853444290338
12H,golden,ks,var_1,3,2025-01-04 00:00:00,2025-01-04 12:00:00,0 days 12:00:00,0.168124133148405
12H,golden,ks,var_1,4,2025-01-09 12:00:00,2025-01-10 00:00:00,0 days 12:00:00,0.17101017105871474
12H,golden,ks,var_1,5,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,0.15708275543227
12H,golden,ks,var_1,6,2025-01-13 12:00:00,2025-01-16 12:00:00,3 days 00:00:00,0.4067625982431808
12H,golden,ks,var_1,7,2025-01-19 00:00:00,2025-01-20 12:00:00,1 days 12:00:00,0.6068978270920018
12H,golden,ks,var_10,1,2025-01-06 00:00:00,2025-01-14 12:00:00,8 days 12:00:00,0.8539678687008784
12H,golden,ks,var_10,2,2025-01-16 12:00:00,2025-01-20 12:00:00,4 days 00:00:00,0.7552542764678687
12H,golden,ks,var_2,1,2025-01-16 00:00:00,2025-01-18 12:00:00,2 days 12:00:00,0.6968978270920019
12H,golden,ks,var_3,1,2025-01-02 00:00:00,2025-01-02 12:00:00,0 days 12:00:00,0.16447064262598243
12H,golden,ks,var_3,2,2025-01-05 00:00:00,2025-01-05 12:00:00,0 days 12:00:00,0.18544498381877023
12H,golden,ks,var_3,3,2025-01-08 00:00:00,2025-01-08 12:00:00,0 days 12:00:00,0.16067845584835877
12H,golden,ks,var_3,4,2025-01-14 12:00:00,2025-01-20 12:00:00,6 days 00:00:00,0.44333448913546003
12H,golden,ks,var_4,1,2025-01-08 00:00:00,2025-01-08 12:00:00,0 days 12:00:00,0.15291030975496994
12H,golden,ks,var_4,2,2025-01-10 12:00:00,2025-01-13 12:00:00,3 days 00:00:00,0.6300150254276468
12H,golden,ks,var_4,3,2025-01-14 00:00:00,2025-01-14 12:00:00,0 days 12:00:00,0.22025196486361534
12H,golden,ks,var_4,4,2025-01-15 00:00:00,2025-01-17 00:00:00,2 days 00:00:00,0.6035124826629681
12H,golden,ks,var_4,5,2025-01-17 12:00:00,2025-01-20 12:00:00,3 days 00:00:00,0.8976329172445677
12H,golden,ks,var_5,1,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.16011326860841424
12H,golden,ks,var_5,2,2025-01-13 12:00:00,2025-01-14 00:00:00,0 days 12:00:00,0.16554553860379104
12H,golden,ks,var_5,3,2025-01-15 12:00:00,2025-01-18 00:00:00,2 days 12:00:00,0.8462286176606565
12H,golden,ks,var_6,1,2025-01-02 00:00:00,2025-01-02 12:00:00,0 days 12:00:00,0.15688973647711513
12H,golden,ks,var_6,2,2025-01-11 12:00:00,2025-01-13 12:00:00,2 days 00:00:00,0.5952138233934351
12H,golden,ks,var_6,3,2025-01-17 12:00:00,2025-01-19 12:00:00,2 days 00:00:00,0.5068030513176144
12H,golden,ks,var_6,4,2025-01-20 00:00:00,2025-01-20 12:00:00,0 days 12:00:00,0.20630721220527046
12H,golden,ks,var_7,1,2025-01-02 12:00:00,2025-01-05 12:00:00,3 days 00:00:00,0.5457269995376791
12H,golden,ks,var_7,2,2025-01-06 00:00:00,2025-01-06 12:00:00,0 days 12:00:00,0.15726421636615812
12H,golden,ks,var_7,3,2025-01-13 00:00:00,2025-01-16 00:00:00,3 days 00:00:00,0.4016504854368932
12H,golden,ks,var_7,4,2025-01-19 00:00:00,2025-01-20 12:00:00,1 days 12:00:00,0.7129415164123902
12H,golden,ks,var_8,1,2025-01-01 12:00:00,2025-01-02 00:00:00,0 days 12:00:00,0.1601629680998613
12H,golden,ks,var_8,2,2025-01-02 12:00:00,2025-01-03 12:00:00,1 days 00:00:00,0.18596740638002773
12H,golden,ks,var_8,3,2025-01-07 12:00:00,2025-01-08 00:00:00,0 days 12:00:00,0.15717753120665742
12H,golden,ks,var_8,4,2025-01-10 00:00:00,2025-01-11 12:00:00,1 days 12:00:00,0.19426837725381416
12H,golden,ks,var_8,5,2025-01-12 00:00:00,2025-01-13 00:00:00,1 days 00:00:00,0.1765117891816921
12H,golden,ks,var_8,6,2025-01-15 12:00:00,2025-01-16 12:00:00,1 days 00:00:00,0.6006842348589921
12H,golden,ks,var_8,7,2025-01-17 12:00:00,2025-01-20 12:00:00,3 days 00:00:00,0.9322954230235784
12H,golden,ks,var_9,1,2025-01-04 00:00:00,2025-01-04 12:00:00,0 days 12:00:00,0.15344660194174758
12H,golden,ks,var_9,2,2025-01-08 00:00:00,2025-01-08 12:00:00,0 days 12:00:00,0.15338303282478039
12H,golden,ks,var_9,3,2025-01-11 00:00:00,2025-01-14 00:00:00,3 days 00:00:00,0.2434408229311142
12H,golden,ks,var_9,4,2025-01-14 12:00:00,2025-01-15 12:00:00,1 days 00:00:00,0.19138580674988442
12H,golden,ks,var_9,5,2025-01-17 00:00:00,2025-01-17 12:00:00,0 days 12:00:00,0.17811257512713824
12H,golden,ks,var_9,6,2025-01-18 00:00:00,2025-01-20 12:00:00,2 days 12:00:00,0.3251132686084142
12H,golden,mannwhitney,var_1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,0 days 12:00:00,0.6263846509477577
12H,golden,mannwhitney,var_1,2,2025-01-02 12:00:00,2025-01-03 12:00:00,1 days 00:00:00,0.5954368932038835
12H,golden,mannwhitney,var_1,3,2025-01-04 00:00:00,2025-01-04 12:00:00,0 days 12:00:00,0.603242024965326
12H,golden,mannwhitney,var_1,4,2025-01-05 00:00:00,2025-01-06 00:00:00,1 days 00:00:00,0.5707235321312991
12H,golden,mannwhitney,var_1,5,2025-01-07 12:00:00,2025-01-08 12:00:00,1 days 00:00:00,0.5847260748959778
12H,golden,mannwhitney,var_1,6,2025-01-09 12:00:00,2025-01-10 00:00:00,0 days 12:00:00,0.6020423023578363
12H,golden,mannwhitney,var_1,7,2025-01-11 12:00:00,2025-01-12 00:00:00,0 days 12:00:00,0.5648705501618123
12H,golden,mannwhitney,var_1,8,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,0.5881426259824318
12H,golden,mannwhitney,var_3,1,2025-01-02 00:00:00,2025-01-02 12:00:00,0 days 12:00:00,0.5922919556171984
12H,golden,mannwhitney,var_3,2,2025-01-05 00:00:00,2025-01-06 00:00:00,1 days 00:00:00,0.6051941747572815
12H,golden,mannwhitney,var_3,3,2025-01-09 12:00:00,2025-01-10 00:00:00,0 days 12:00:00,0.5522873324086917
12H,golden,mannwhitney,var_3,4,2025-01-13 12:00:00,2025-01-14 00:00:00,0 days 12:00:00,0.5559974572353213
12H,golden,mannwhitney,var_4,1,2025-01-03 00:00:00,2025-01-03 12:00:00,0 days 12:00:00,0.5814817383263985
12H,golden,mannwhitney,var_4,2,2025-01-04 12:00:00,2025-01-05 00:00:00,0 days 12:00:00,0.5726895515487749
12H,golden,mannwhitney,var_4,3,2025-01-06 12:00:00,2025-01-07 00:00:00,0 days 12:00:00,0.5788176144244105
12H,golden,mannwhitney,var_4,4,2025-01-15 00:00:00,2025-01-15 12:00:00,0 days 12:00:00,0.6294174757281553
12H,golden,mannwhitney,var_5,1,2025-01-02 12:00:00,2025-01-03 00:00:00,0 days 12:00:00,0.560135228848821
12H,golden,mannwhitney,var_5,2,2025-01-05 00:00:00,2025-01-05 12:00:00,0 days 12:00:00,0.5631472491909385
12H,golden,mannwhitney,var_5,3,2025-01-06 12:00:00,2025-01-07 00:00:00,0 days 12:00:00,0.5538072122052704
12H,golden,mannwhitney,var_5,4,2025-01-10 00:00:00,2025-01-11 00:00:00,1 days 00:00:00,0.5874352750809061
12H,golden,mannwhitney,var_5,5,2025-01-14 12:00:00,2025-01-15 00:00:00,0 days 12:00:00,0.5800358298659269
12H,golden,mannwhitney,var_5,6,2025-01-20 00:00:00,2025-01-20 12:00:00,0 days 12:00:00,0.5668631530282016
12H,golden,mannwhitney,var_6,1,2025-01-10 12:00:00,2025-01-11 00:00:00,0 days 12:00:00,0.559543458159963
12H,golden,mannwhitney,var_7,1,2025-01-17 12:00:00,2025-01-18 12:00:00,1 days 00:00:00,0.5583159963014332
12H,golden,mannwhitney,var_8,1,2025-01-05 12:00:00,2025-01-06 00:00:00,0 days 12:00:00,0.5518515950069348
12H,golden,mannwhitney,var_8,2,2025-01-10 00:00:00,2025-01-11 12:00:00,1 days 12:00:00,0.6045515487748497
12H,golden,mannwhitney,var_8,3,2025-01-12 00:00:00,2025-01-13 00:00:00,1 days 00:00:00,0.5953848821081831
12H,golden,mannwhitney,var_9,1,2025-01-02 12:00:00,2025-01-03 12:00:00,1 days 00:00:00,0.5714528432732316
12H,golden,mannwhitney,var_9,2,2025-01-04 00:00:00,2025-01-04 12:00:00,0 days 12:00:00,0.5758171521035599
12H,golden,mannwhitney,var_9,3,2025-01-06 00:00:00,2025-01-06 12:00:00,0 days 12:00:00,0.56166204345816
12H,golden,mannwhitney,var_9,4,2025-01-15 12:00:00,2025-01-16 00:00:00,0 days 12:00:00,0.5850566343042071
12H,golden,psi,var_1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,0 days 12:00:00,0.22814147243323557
12H,golden,psi,var_1,2,2025-01-13 12:00:00,2025-01-16 12:00:00,3 days 00:00:00,1.0928547182570671
12H,golden,psi,var_1,3,2025-01-19 00:00:00,2025-01-20 12:00:00,1 days 12:00:00,2.665966260821163
12H,golden,psi,var_10,1,2025-01-06 12:00:00,2025-01-14 12:00:00,8 days 00:00:00,7.706019522543132
12H,golden,psi,var_10,2,2025-01-16 12:00:00,2025-01-20 12:00:00,4 days 00:00:00,3.717541550756528
12H,golden,psi,var_2,1,2025-01-16 00:00:00,2025-01-18 12:00:00,2 days 12:00:00,4.005099049650331
12H,golden,psi,var_3,1,2025-01-05 00:00:00,2025-01-05 12:00:00,0 days 12:00:00,0.2548244105669852
12H,golden,psi,var_3,2,2025-01-08 00:00:00,2025-01-08 12:00:00,0 days 12:00:00,0.21591014450494023
12H,golden,psi,var_3,3,2025-01-15 00:00:00,2025-01-20 12:00:00,5 days 12:00:00,1.3109410095358027
12H,golden,psi,var_4,1,2025-01-11 00:00:00,2025-01-13 12:00:00,2 days 12:00:00,3.1837917652336714
12H,golden,psi,var_4,2,2025-01-14 00:00:00,2025-01-14 12:00:00,0 days 12:00:00,0.27656631266612636
12H,golden,psi,var_4,3,2025-01-15 00:00:00,2025-01-17 00:00:00,2 days 00:00:00,4.007892545349312
12H,golden,psi,var_4,4,2025-01-17 12:00:00,2025-01-19 00:00:00,1 days 12:00:00,6.654779407635623
12H,golden,psi,var_4,5,2025-01-19 12:00:00,2025-01-20 12:00:00,1 days 00:00:00,10.312843243484668
12H,golden,psi,var_5,1,2025-01-15 12:00:00,2025-01-18 00:00:00,2 days 12:00:00,6.680342973146403
12H,golden,psi,var_6,1,2025-01-11 12:00:00,2025-01-13 12:00:00,2 days 00:00:00,3.221871492036226
12H,golden,psi,var_6,2,2025-01-17 12:00:00,2025-01-19 12:00:00,2 days 00:00:00,1.4112344858550676
12H,golden,psi,var_6,3,2025-01-20 00:00:00,2025-01-20 12:00:00,0 days 12:00:00,0.28678565298845987
12H,golden,psi,var_7,1,2025-01-02 12:00:00,2025-01-05 12:00:00,3 days 00:00:00,2.92623859533233
12H,golden,psi,var_7,2,2025-01-06 00:00:00,2025-01-06 12:00:00,0 days 12:00:00,0.2638165179394771
12H,golden,psi,var_7,3,2025-01-13 00:00:00,2025-01-15 00:00:00,2 days 00:00:00,0.9116424686541174
12H,golden,psi,var_7,4,2025-01-15 12:00:00,2025-01-16 00:00:00,0 days 12:00:00,0.24458239137551563
12H,golden,psi,var_7,5,2025-01-19 12:00:00,2025-01-20 12:00:00,1 days 00:00:00,5.641502062201965
12H,golden,psi,var_8,1,2025-01-03 00:00:00,2025-01-03 12:00:00,0 days 12:00:00,0.3603181388750352
12H,golden,psi,var_8,2,2025-01-07 12:00:00,2025-01-08 00:00:00,0 days 12:00:00,0.2151102047903214
12H,golden,psi,var_8,3,2025-01-11 00:00:00,2025-01-11 12:00:00,0 days 12:00:00,0.21078526284694998
12H,golden,psi,var_8,4,2025-01-15 12:00:00,2025-01-16 12:00:00,1 days 00:00:00,3.52329289134979
12H,golden,psi,var_8,5,2025-01-17 12:00:00,2025-01-20 12:00:00,3 days 00:00:00,3.621446228318442
12H,golden,psi,var_9,1,2025-01-09 00:00:00,2025-01-09 12:00:00,0 days 12:00:00,0.21073871191608756
12H,golden,psi,var_9,2,2025-01-11 12:00:00,2025-01-13 12:00:00,2 days 00:00:00,0.39433297047742955
12H,golden,psi,var_9,3,2025-01-18 00:00:00,2025-01-20 12:00:00,2 days 12:00:00,0.5369900321518274
12H,golden,wasserstein,var_1,1,2025-01-13 12:00:00,2025-01-16 00:00:00,2 days 12:00:00,0.6252792161398748
12H,golden,wasserstein,var_1,2,2025-01-19 00:00:00,2025-01-20 12:00:00,1 days 12:00:00,0.8951274499587585
12H,golden,wasserstein,var_10,1,2025-01-06 12:00:00,2025-01-09 12:00:00,3 days 00:00:00,1.4000105460363987
12H,golden,wasserstein,var_10,2,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.4201472876290079
12H,golden,wasserstein,var_10,3,2025-01-12 00:00:00,2025-01-14 12:00:00,2 days 12:00:00,0.9807092463535372
12H,golden,wasserstein,var_10,4,2025-01-16 12:00:00,2025-01-17 12:00:00,1 days 00:00:00,1.0466554422949583
12H,golden,wasserstein,var_10,5,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,0.5393679931003199
12H,golden,wasserstein,var_2,1,2025-01-16 00:00:00,2025-01-18 12:00:00,2 days 12:00:00,1.2493198414934514
12H,golden,wasserstein,var_3,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,0.5875642666952758
12H,golden,wasserstein,var_4,1,2025-01-11 00:00:00,2025-01-13 12:00:00,2 days 12:00:00,1.0363733389359044
12H,golden,wasserstein,var_4,2,2025-01-14 00:00:00,2025-01-14 12:00:00,0 days 12:00:00,0.24574787954875793
12H,golden,wasserstein,var_4,3,2025-01-15 00:00:00,2025-01-16 12:00:00,1 days 12:00:00,0.9233702820852012
12H,golden,wasserstein,var_4,4,2025-01-17 12:00:00,2025-01-20 12:00:00,3 days 00:00:00,2.0386812692972134
12H,golden,wasserstein,var_5,1,2025-01-15 12:00:00,2025-01-17 00:00:00,1 days 12:00:00,1.7403597550294103
12H,golden,wasserstein,var_5,2,2025-01-17 12:00:00,2025-01-18 00:00:00,0 days 12:00:00,0.3620145948301515
12H,golden,wasserstein,var_6,1,2025-01-11 12:00:00,2025-01-13 12:00:00,2 days 00:00:00,0.9590764840059899
12H,golden,wasserstein,var_6,2,2025-01-17 12:00:00,2025-01-19 12:00:00,2 days 00:00:00,0.6634128816656366
12H,golden,wasserstein,var_7,1,2025-01-02 12:00:00,2025-01-04 12:00:00,2 days 00:00:00,0.8588353855110449
12H,golden,wasserstein,var_7,2,2025-01-14 00:00:00,2025-01-15 00:00:00,1 days 00:00:00,0.4811551079242046
12H,golden,wasserstein,var_7,3,2025-01-15 12:00:00,2025-01-16 00:00:00,0 days 12:00:00,0.25454671527761985
12H,golden,wasserstein,var_7,4,2025-01-19 12:00:00,2025-01-20 12:00:00,1 days 00:00:00,1.102570847642542
12H,golden,wasserstein,var_8,1,2025-01-15 12:00:00,2025-01-16 12:00:00,1 days 00:00:00,0.8175605998733181
12H,golden,wasserstein,var_8,2,2025-01-17 12:00:00,2025-01-20 12:00:00,3 days 00:00:00,2.140265831363994
12H,golden,wasserstein,var_9,1,2025-01-11 12:00:00,2025-01-13 00:00:00,1 days 12:00:00,0.33840599770791024
12H,golden,wasserstein,var_9,2,2025-01-14 12:00:00,2025-01-15 00:00:00,0 days 12:00:00,0.22746442564248204
12H,golden,wasserstein,var_9,3,2025-01-18 00:00:00,2025-01-20 12:00:00,2 days 12:00:00,0.36657868093989915
12H,seasonal,ks,var_1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,0 days 12:00:00,0.1700531668978271
12H,seasonal,ks,var_1,2,2025-01-08 12:00:00,2025-01-09 12:00:00,1 days 00:00:00,0.3782246879334258
12H,seasonal,ks,var_1,3,2025-01-11 00:00:00,2025-01-11 12:00:00,0 days 12:00:00,0.16336107258437355
12H,seasonal,ks,var_1,4,2025-01-12 12:00:00,2025-01-20 12:00:00,8 days 00:00:00,1.0
12H,seasonal,ks,var_10,1,2025-01-06 12:00:00,2025-01-20 12:00:00,14 days 00:00:00,1.0
12H,seasonal,ks,var_2,1,2025-01-08 12:00:00,2025-01-09 00:00:00,0 days 12:00:00,0.17436430883032825
12H,seasonal,ks,var_2,2,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.15790568654646325
12H,seasonal,ks,var_2,3,2025-01-11 00:00:00,2025-01-13 00:00:00,2 days 00:00:00,0.4878178455848359
12H,seasonal,ks,var_2,4,2025-01-13 12:00:00,2025-01-14 00:00:00,0 days 12:00:00,0.15601017105871476
12H,seasonal,ks,var_2,5,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,1.0
12H,seasonal,ks,var_3,1,2025-01-08 00:00:00,2025-01-10 00:00:00,2 days 00:00:00,0.2626444752658345
12H,seasonal,ks,var_3,2,2025-01-10 12:00:00,2025-01-11 12:00:00,1 days 00:00:00,0.2963014331946371
12H,seasonal,ks,var_3,3,2025-01-12 12:00:00,2025-01-14 12:00:00,2 days 00:00:00,0.30751271382339346
12H,seasonal,ks,var_3,4,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,1.0
12H,seasonal,ks,var_4,1,2025-01-07 12:00:00,2025-01-10 12:00:00,3 days 00:00:00,0.4310217290799815
12H,seasonal,ks,var_4,2,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,1.0
12H,seasonal,ks,var_5,1,2025-01-07 12:00:00,2025-01-09 00:00:00,1 days 12:00:00,0.21694405917706888
12H,seasonal,ks,var_5,2,2025-01-09 12:00:00,2025-01-11 12:00:00,2 days 00:00:00,0.566990291262136
12H,seasonal,ks,var_5,3,2025-01-12 12:00:00,2025-01-15 00:00:00,2 days 12:00:00,0.2895053166897827
12H,seasonal,ks,var_5,4,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,1.0
12H,seasonal,ks,var_6,1,2025-01-07 12:00:00,2025-01-08 12:00:00,1 days 00:00:00,0.2684697179842811
12H,seasonal,ks,var_6,2,2025-01-09 12:00:00,2025-01-10 12:00:00,1 days 00:00:00,0.2544382801664355
12H,seasonal,ks,var_6,3,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,1.0
12H,seasonal,ks,var_7,1,2025-01-02 12:00:00,2025-01-10 12:00:00,8 days 00:00:00,0.8848358760980121
12H,seasonal,ks,var_7,2,2025-01-11 00:00:00,2025-01-11 12:00:00,0 days 12:00:00,0.19935275080906148
12H,seasonal,ks,var_7,3,2025-01-12 00:00:00,2025-01-20 12:00:00,8 days 12:00:00,1.0
12H,seasonal,ks,var_8,1,2025-01-07 12:00:00,2025-01-09 00:00:00,1 days 12:00:00,0.4309754969949145
12H,seasonal,ks,var_8,2,2025-01-09 12:00:00,2025-01-14 00:00:00,4 days 12:00:00,0.5907535829865926
12H,seasonal,ks,var_8,3,2025-01-14 12:00:00,2025-01-20 12:00:00,6 days 00:00:00,1.0
12H,seasonal,ks,var_9,1,2025-01-07 12:00:00,2025-01-09 12:00:00,2 days 00:00:00,0.43906611188164585
12H,seasonal,ks,var_9,2,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.1788719371243643
12H,seasonal,ks,var_9,3,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,1.0
12H,seasonal,mannwhitney,var_1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,0 days 12:00:00,0.5957447218369548
12H,seasonal,mannwhitney,var_1,2,2025-01-04 00:00:00,2025-01-04 12:00:00,0 days 12:00:00,0.5696033672368623
12H,seasonal,mannwhitney,var_1,3,2025-01-08 12:00:00,2025-01-09 00:00:00,0 days 12:00:00,0.562760055478502
12H,seasonal,mannwhitney,var_1,4,2025-01-11 00:00:00,2025-01-11 12:00:00,0 days 12:00:00,0.564632454923717
12H,seasonal,mannwhitney,var_1,5,2025-01-13 00:00:00,2025-01-13 12:00:00,0 days 12:00:00,0.6285714285714286
12H,seasonal,mannwhitney,var_10,1,2025-01-05 12:00:00,2025-01-06 00:00:00,0 days 12:00:00,0.5663013047721785
12H,seasonal,mannwhitney,var_2,1,2025-01-07 12:00:00,2025-01-08 00:00:00,0 days 12:00:00,0.5617429496070273
12H,seasonal,mannwhitney,var_2,2,2025-01-11 12:00:00,2025-01-12 12:00:00,1 days 00:00:00,0.6244105409153953
12H,seasonal,mannwhitney,var_2,3,2025-01-13 12:00:00,2025-01-14 00:00:00,0 days 12:00:00,0.557720758206195
12H,seasonal,mannwhitney,var_3,1,2025-01-02 00:00:00,2025-01-02 12:00:00,0 days 12:00:00,0.5588688549853599
