window,strategy,metric,variable,episode_id,seg_start,seg_end,seg_length,stat_max,n_windows,matched_manual,auto_len_sec
12H,golden,ks,var_8,1,2025-01-15 12:00:00,2025-01-16 12:00:00,1 days 00:00:00,0.6006842348589921,2,True,86400.0
12H,golden,ks,var_8,2,2025-01-17 12:00:00,2025-01-20 12:00:00,3 days 00:00:00,0.9322954230235784,6,True,259200.0
12H,golden,ks,var_9,1,2025-01-11 12:00:00,2025-01-13 12:00:00,2 days 00:00:00,0.2434408229311142,4,True,172800.0
12H,golden,ks,var_9,2,2025-01-18 00:00:00,2025-01-20 12:00:00,2 days 12:00:00,0.3251132686084142,5,True,216000.0
12H,golden,psi,var_1,1,2025-01-13 12:00:00,2025-01-16 00:00:00,2 days 12:00:00,1.0928547182570671,5,True,216000.0
12H,golden,psi,var_1,2,2025-01-19 00:00:00,2025-01-20 12:00:00,1 days 12:00:00,2.665966260821163,3,True,129600.0
12H,golden,psi,var_10,1,2025-01-06 12:00:00,2025-01-12 00:00:00,5 days 12:00:00,7.706019522543132,11,False,475200.0
12H,golden,psi,var_10,2,2025-01-12 12:00:00,2025-01-14 12:00:00,2 days 00:00:00,3.9505540795035405,4,True,172800.0
12H,golden,psi,var_10,3,2025-01-16 12:00:00,2025-01-17 12:00:00,1 days 00:00:00,3.717541550756528,2,True,86400.0
12H,golden,psi,var_10,4,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,1.2008084114223674,4,True,172800.0
12H,golden,psi,var_2,1,2025-01-16 00:00:00,2025-01-18 12:00:00,2 days 12:00:00,4.005099049650331,5,True,216000.0
12H,golden,psi,var_3,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,1.3109410095358027,10,True,432000.0
12H,golden,psi,var_4,1,2025-01-11 00:00:00,2025-01-13 12:00:00,2 days 12:00:00,3.1837917652336714,5,True,216000.0
12H,golden,psi,var_4,2,2025-01-15 12:00:00,2025-01-17 00:00:00,1 days 12:00:00,4.007892545349312,3,True,129600.0
12H,golden,psi,var_4,3,2025-01-17 12:00:00,2025-01-19 00:00:00,1 days 12:00:00,6.654779407635623,3,True,129600.0
12H,golden,psi,var_4,4,2025-01-19 12:00:00,2025-01-20 12:00:00,1 days 00:00:00,10.312843243484668,2,False,86400.0
12H,golden,psi,var_5,1,2025-01-15 12:00:00,2025-01-18 00:00:00,2 days 12:00:00,6.680342973146403,5,True,216000.0
12H,golden,psi,var_6,1,2025-01-11 12:00:00,2025-01-13 12:00:00,2 days 00:00:00,3.221871492036226,4,True,172800.0
12H,golden,psi,var_6,2,2025-01-17 12:00:00,2025-01-19 12:00:00,2 days 00:00:00,1.4112344858550676,4,True,172800.0
12H,golden,psi,var_7,1,2025-01-02 12:00:00,2025-01-05 12:00:00,3 days 00:00:00,2.92623859533233,6,True,259200.0
12H,golden,psi,var_7,2,2025-01-14 00:00:00,2025-01-15 00:00:00,1 days 00:00:00,0.9116424686541174,2,True,86400.0
12H,golden,psi,var_7,3,2025-01-19 12:00:00,2025-01-20 12:00:00,1 days 00:00:00,5.641502062201965,2,True,86400.0
12H,golden,psi,var_8,1,2025-01-03 00:00:00,2025-01-03 12:00:00,0 days 12:00:00,0.3603181388750352,1,False,43200.0
12H,golden,psi,var_8,2,2025-01-15 12:00:00,2025-01-16 12:00:00,1 days 00:00:00,3.52329289134979,2,True,86400.0
12H,golden,psi,var_8,3,2025-01-17 12:00:00,2025-01-20 12:00:00,3 days 00:00:00,3.621446228318442,6,True,259200.0
12H,golden,psi,var_9,1,2025-01-11 12:00:00,2025-01-13 00:00:00,1 days 12:00:00,0.39433297047742955,3,True,129600.0
12H,golden,psi,var_9,2,2025-01-18 00:00:00,2025-01-18 12:00:00,0 days 12:00:00,0.49628522323084323,1,True,43200.0
12H,golden,psi,var_9,3,2025-01-19 00:00:00,2025-01-20 12:00:00,1 days 12:00:00,0.5369900321518274,3,True,129600.0
12H,golden,wasserstein,var_1,1,2025-01-13 12:00:00,2025-01-16 00:00:00,2 days 12:00:00,0.6252792161398748,5,True,216000.0
12H,golden,wasserstein,var_1,2,2025-01-19 00:00:00,2025-01-20 12:00:00,1 days 12:00:00,0.8951274499587585,3,True,129600.0
12H,golden,wasserstein,var_10,1,2025-01-06 12:00:00,2025-01-09 12:00:00,3 days 00:00:00,1.4000105460363987,6,False,259200.0
12H,golden,wasserstein,var_10,2,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.4201472876290079,1,False,43200.0
12H,golden,wasserstein,var_10,3,2025-01-12 00:00:00,2025-01-14 12:00:00,2 days 12:00:00,0.9807092463535372,5,True,216000.0
12H,golden,wasserstein,var_10,4,2025-01-16 12:00:00,2025-01-17 12:00:00,1 days 00:00:00,1.0466554422949583,2,True,86400.0
12H,golden,wasserstein,var_10,5,2025-01-18 00:00:00,2025-01-20 00:00:00,2 days 00:00:00,0.5393679931003199,4,True,172800.0
12H,golden,wasserstein,var_2,1,2025-01-16 00:00:00,2025-01-18 12:00:00,2 days 12:00:00,1.2493198414934514,5,True,216000.0
12H,golden,wasserstein,var_3,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,0.5875642666952758,10,True,432000.0
12H,golden,wasserstein,var_4,1,2025-01-11 00:00:00,2025-01-13 12:00:00,2 days 12:00:00,1.0363733389359044,5,True,216000.0
12H,golden,wasserstein,var_4,2,2025-01-14 00:00:00,2025-01-14 12:00:00,0 days 12:00:00,0.24574787954875793,1,False,43200.0
12H,golden,wasserstein,var_4,3,2025-01-15 00:00:00,2025-01-16 12:00:00,1 days 12:00:00,0.9233702820852012,3,True,129600.0
12H,golden,wasserstein,var_4,4,2025-01-17 12:00:00,2025-01-20 12:00:00,3 days 00:00:00,2.0386812692972134,6,True,259200.0
12H,golden,wasserstein,var_5,1,2025-01-15 12:00:00,2025-01-17 00:00:00,1 days 12:00:00,1.7403597550294103,3,True,129600.0
12H,golden,wasserstein,var_5,2,2025-01-17 12:00:00,2025-01-18 00:00:00,0 days 12:00:00,0.3620145948301515,1,False,43200.0
12H,golden,wasserstein,var_6,1,2025-01-11 12:00:00,2025-01-13 12:00:00,2 days 00:00:00,0.9590764840059899,4,True,172800.0
12H,golden,wasserstein,var_6,2,2025-01-17 12:00:00,2025-01-19 12:00:00,2 days 00:00:00,0.6634128816656366,4,True,172800.0
12H,golden,wasserstein,var_7,1,2025-01-02 12:00:00,2025-01-04 12:00:00,2 days 00:00:00,0.8588353855110449,4,True,172800.0
12H,golden,wasserstein,var_7,2,2025-01-14 00:00:00,2025-01-15 00:00:00,1 days 00:00:00,0.4811551079242046,2,True,86400.0
12H,golden,wasserstein,var_7,3,2025-01-15 12:00:00,2025-01-16 00:00:00,0 days 12:00:00,0.25454671527761985,1,True,43200.0
12H,golden,wasserstein,var_7,4,2025-01-19 12:00:00,2025-01-20 12:00:00,1 days 00:00:00,1.102570847642542,2,True,86400.0
12H,golden,wasserstein,var_8,1,2025-01-15 12:00:00,2025-01-16 12:00:00,1 days 00:00:00,0.8175605998733181,2,True,86400.0
12H,golden,wasserstein,var_8,2,2025-01-17 12:00:00,2025-01-20 12:00:00,3 days 00:00:00,2.140265831363994,6,True,259200.0
12H,golden,wasserstein,var_9,1,2025-01-11 12:00:00,2025-01-13 00:00:00,1 days 12:00:00,0.33840599770791024,3,True,129600.0
12H,golden,wasserstein,var_9,2,2025-01-14 12:00:00,2025-01-15 00:00:00,0 days 12:00:00,0.22746442564248204,1,False,43200.0
12H,golden,wasserstein,var_9,3,2025-01-18 00:00:00,2025-01-20 12:00:00,2 days 12:00:00,0.36657868093989915,5,True,216000.0
12H,seasonal,ks,var_1,1,2025-01-09 00:00:00,2025-01-09 12:00:00,0 days 12:00:00,0.3782246879334258,1,False,43200.0
12H,seasonal,ks,var_1,2,2025-01-12 12:00:00,2025-01-20 12:00:00,8 days 00:00:00,1.0,16,True,691200.0
12H,seasonal,ks,var_10,1,2025-01-06 12:00:00,2025-01-20 12:00:00,14 days 00:00:00,1.0,28,True,1209600.0
12H,seasonal,ks,var_2,1,2025-01-11 00:00:00,2025-01-13 00:00:00,2 days 00:00:00,0.4878178455848359,4,False,172800.0
12H,seasonal,ks,var_2,2,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,1.0,9,True,388800.0
12H,seasonal,ks,var_3,1,2025-01-08 12:00:00,2025-01-09 00:00:00,0 days 12:00:00,0.2626444752658345,1,False,43200.0
12H,seasonal,ks,var_3,2,2025-01-10 12:00:00,2025-01-11 00:00:00,0 days 12:00:00,0.2963014331946371,1,False,43200.0
12H,seasonal,ks,var_3,3,2025-01-12 12:00:00,2025-01-13 12:00:00,1 days 00:00:00,0.3008552935737402,2,False,86400.0
12H,seasonal,ks,var_3,4,2025-01-14 00:00:00,2025-01-14 12:00:00,0 days 12:00:00,0.30751271382339346,1,False,43200.0
12H,seasonal,ks,var_3,5,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,1.0,10,True,432000.0
12H,seasonal,ks,var_4,1,2025-01-07 12:00:00,2025-01-09 12:00:00,2 days 00:00:00,0.4310217290799815,4,False,172800.0
12H,seasonal,ks,var_4,2,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.24237170596393898,1,False,43200.0
12H,seasonal,ks,var_4,3,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,1.0,19,True,820800.0
12H,seasonal,ks,var_5,1,2025-01-07 12:00:00,2025-01-08 00:00:00,0 days 12:00:00,0.21694405917706888,1,False,43200.0
12H,seasonal,ks,var_5,2,2025-01-09 12:00:00,2025-01-11 12:00:00,2 days 00:00:00,0.566990291262136,4,False,172800.0
12H,seasonal,ks,var_5,3,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,0.24956079519186317,1,False,43200.0
12H,seasonal,ks,var_5,4,2025-01-13 12:00:00,2025-01-14 00:00:00,0 days 12:00:00,0.2895053166897827,1,False,43200.0
12H,seasonal,ks,var_5,5,2025-01-14 12:00:00,2025-01-15 00:00:00,0 days 12:00:00,0.25898058252427186,1,False,43200.0
12H,seasonal,ks,var_5,6,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,1.0,10,True,432000.0
12H,seasonal,ks,var_6,1,2025-01-07 12:00:00,2025-01-08 12:00:00,1 days 00:00:00,0.2684697179842811,2,False,86400.0
12H,seasonal,ks,var_6,2,2025-01-09 12:00:00,2025-01-10 00:00:00,0 days 12:00:00,0.2544382801664355,1,False,43200.0
12H,seasonal,ks,var_6,3,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,1.0,18,True,777600.0
12H,seasonal,ks,var_7,1,2025-01-02 12:00:00,2025-01-07 00:00:00,4 days 12:00:00,0.633504777315457,9,True,388800.0
12H,seasonal,ks,var_7,2,2025-01-07 12:00:00,2025-01-09 12:00:00,2 days 00:00:00,0.8848358760980121,4,False,172800.0
12H,seasonal,ks,var_7,3,2025-01-12 00:00:00,2025-01-20 12:00:00,8 days 12:00:00,1.0,17,True,734400.0
12H,seasonal,ks,var_8,1,2025-01-07 12:00:00,2025-01-09 00:00:00,1 days 12:00:00,0.4309754969949145,3,False,129600.0
12H,seasonal,ks,var_8,2,2025-01-09 12:00:00,2025-01-10 00:00:00,0 days 12:00:00,0.2064493758668516,1,False,43200.0
12H,seasonal,ks,var_8,3,2025-01-10 12:00:00,2025-01-11 00:00:00,0 days 12:00:00,0.26962552011095703,1,False,43200.0
12H,seasonal,ks,var_8,4,2025-01-11 12:00:00,2025-01-12 00:00:00,0 days 12:00:00,0.5907535829865926,1,False,43200.0
12H,seasonal,ks,var_8,5,2025-01-12 12:00:00,2025-01-14 00:00:00,1 days 12:00:00,0.3045769764216366,3,False,129600.0
12H,seasonal,ks,var_8,6,2025-01-14 12:00:00,2025-01-15 00:00:00,0 days 12:00:00,0.3171983356449376,1,False,43200.0
12H,seasonal,ks,var_8,7,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,1.0,10,True,432000.0
12H,seasonal,ks,var_9,1,2025-01-07 12:00:00,2025-01-09 12:00:00,2 days 00:00:00,0.43906611188164585,4,False,172800.0
12H,seasonal,ks,var_9,2,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,1.0,18,True,777600.0
12H,seasonal,psi,var_1,1,2025-01-08 12:00:00,2025-01-09 12:00:00,1 days 00:00:00,0.5015194100594211,2,False,86400.0
12H,seasonal,psi,var_1,2,2025-01-13 00:00:00,2025-01-13 12:00:00,0 days 12:00:00,0.5924963398183481,1,False,43200.0
12H,seasonal,psi,var_1,3,2025-01-14 00:00:00,2025-01-20 12:00:00,6 days 12:00:00,inf,13,True,561600.0
12H,seasonal,psi,var_10,1,2025-01-06 12:00:00,2025-01-20 12:00:00,14 days 00:00:00,inf,28,True,1209600.0
12H,seasonal,psi,var_2,1,2025-01-08 00:00:00,2025-01-08 12:00:00,0 days 12:00:00,0.34666318462390516,1,False,43200.0
12H,seasonal,psi,var_2,2,2025-01-11 00:00:00,2025-01-12 00:00:00,1 days 00:00:00,0.4296211382087492,2,False,86400.0
12H,seasonal,psi,var_2,3,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,1.1760197033426674,1,False,43200.0
12H,seasonal,psi,var_2,4,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,inf,9,True,388800.0
12H,seasonal,psi,var_3,1,2025-01-08 12:00:00,2025-01-09 00:00:00,0 days 12:00:00,0.5043939267023527,1,False,43200.0
12H,seasonal,psi,var_3,2,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.40264175351059844,1,False,43200.0
12H,seasonal,psi,var_3,3,2025-01-11 12:00:00,2025-01-12 00:00:00,0 days 12:00:00,0.33979267817748726,1,False,43200.0
12H,seasonal,psi,var_3,4,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,0.30191266753641066,1,False,43200.0
12H,seasonal,psi,var_3,5,2025-01-14 00:00:00,2025-01-14 12:00:00,0 days 12:00:00,0.5383558616992798,1,False,43200.0
12H,seasonal,psi,var_3,6,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,inf,10,True,432000.0
12H,seasonal,psi,var_4,1,2025-01-07 12:00:00,2025-01-09 12:00:00,2 days 00:00:00,1.804753321569959,4,False,172800.0
12H,seasonal,psi,var_4,2,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,inf,19,True,820800.0
12H,seasonal,psi,var_5,1,2025-01-07 12:00:00,2025-01-08 00:00:00,0 days 12:00:00,0.35255387577870073,1,False,43200.0
12H,seasonal,psi,var_5,2,2025-01-09 12:00:00,2025-01-11 12:00:00,2 days 00:00:00,1.3350153482911298,4,False,172800.0
12H,seasonal,psi,var_5,3,2025-01-13 12:00:00,2025-01-14 00:00:00,0 days 12:00:00,0.4198408189546783,1,False,43200.0
12H,seasonal,psi,var_5,4,2025-01-14 12:00:00,2025-01-15 00:00:00,0 days 12:00:00,0.3702377790049588,1,False,43200.0
12H,seasonal,psi,var_5,5,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,inf,10,True,432000.0
12H,seasonal,psi,var_6,1,2025-01-07 12:00:00,2025-01-08 12:00:00,1 days 00:00:00,0.5669866585359563,2,False,86400.0
12H,seasonal,psi,var_6,2,2025-01-09 12:00:00,2025-01-10 00:00:00,0 days 12:00:00,0.42107231571534204,1,False,43200.0
12H,seasonal,psi,var_6,3,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,inf,18,True,777600.0
12H,seasonal,psi,var_7,1,2025-01-02 12:00:00,2025-01-09 12:00:00,7 days 00:00:00,4.866281360772369,14,True,604800.0
12H,seasonal,psi,var_7,2,2025-01-12 00:00:00,2025-01-12 12:00:00,0 days 12:00:00,0.30703864912565015,1,False,43200.0
12H,seasonal,psi,var_7,3,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,inf,15,True,648000.0
12H,seasonal,psi,var_8,1,2025-01-07 12:00:00,2025-01-09 00:00:00,1 days 12:00:00,0.8635747073684037,3,False,129600.0
12H,seasonal,psi,var_8,2,2025-01-10 12:00:00,2025-01-11 00:00:00,0 days 12:00:00,0.7587182955832039,1,False,43200.0
12H,seasonal,psi,var_8,3,2025-01-11 12:00:00,2025-01-12 00:00:00,0 days 12:00:00,0.8984629407625486,1,False,43200.0
12H,seasonal,psi,var_8,4,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,0.39561040820430315,1,False,43200.0
12H,seasonal,psi,var_8,5,2025-01-13 12:00:00,2025-01-15 00:00:00,1 days 12:00:00,0.7168622522391568,3,False,129600.0
12H,seasonal,psi,var_8,6,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,inf,10,True,432000.0
12H,seasonal,psi,var_9,1,2025-01-07 12:00:00,2025-01-08 00:00:00,0 days 12:00:00,0.9795652237644876,1,False,43200.0
12H,seasonal,psi,var_9,2,2025-01-08 12:00:00,2025-01-09 12:00:00,1 days 00:00:00,0.7267603656119456,2,False,86400.0
12H,seasonal,psi,var_9,3,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,inf,18,True,777600.0
12H,seasonal,wasserstein,var_1,1,2025-01-09 00:00:00,2025-01-09 12:00:00,0 days 12:00:00,0.3560826870644428,1,False,43200.0
12H,seasonal,wasserstein,var_1,2,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,0.20358321369630233,1,False,43200.0
12H,seasonal,wasserstein,var_1,3,2025-01-13 12:00:00,2025-01-20 12:00:00,7 days 00:00:00,3.6123784960614764,14,True,604800.0
12H,seasonal,wasserstein,var_10,1,2025-01-06 12:00:00,2025-01-20 12:00:00,14 days 00:00:00,4.807215918289145,28,True,1209600.0
12H,seasonal,wasserstein,var_2,1,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.17167990808674094,1,False,43200.0
12H,seasonal,wasserstein,var_2,2,2025-01-11 00:00:00,2025-01-11 12:00:00,0 days 12:00:00,0.34217652116048425,1,False,43200.0
12H,seasonal,wasserstein,var_2,3,2025-01-12 00:00:00,2025-01-13 00:00:00,1 days 00:00:00,0.5214989640299814,2,False,86400.0
12H,seasonal,wasserstein,var_2,4,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,2.6952989217352266,9,True,388800.0
12H,seasonal,wasserstein,var_3,1,2025-01-10 12:00:00,2025-01-11 00:00:00,0 days 12:00:00,0.256338109731849,1,False,43200.0
12H,seasonal,wasserstein,var_3,2,2025-01-12 12:00:00,2025-01-13 12:00:00,1 days 00:00:00,0.3179221429924232,2,False,86400.0
12H,seasonal,wasserstein,var_3,3,2025-01-14 00:00:00,2025-01-14 12:00:00,0 days 12:00:00,0.31986458398432954,1,False,43200.0
12H,seasonal,wasserstein,var_3,4,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,2.7909121507551307,10,True,432000.0
12H,seasonal,wasserstein,var_4,1,2025-01-08 00:00:00,2025-01-09 00:00:00,1 days 00:00:00,0.5086967331326326,2,False,86400.0
12H,seasonal,wasserstein,var_4,2,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.22611077385806377,1,False,43200.0
12H,seasonal,wasserstein,var_4,3,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,6.698887273666895,19,True,820800.0
12H,seasonal,wasserstein,var_5,1,2025-01-09 12:00:00,2025-01-11 12:00:00,2 days 00:00:00,0.5495525585564294,4,False,172800.0
12H,seasonal,wasserstein,var_5,2,2025-01-12 12:00:00,2025-01-13 00:00:00,0 days 12:00:00,0.20333863709780353,1,False,43200.0
12H,seasonal,wasserstein,var_5,3,2025-01-14 12:00:00,2025-01-15 00:00:00,0 days 12:00:00,0.2913973222606525,1,False,43200.0
