metric,strategy,window,Precision,Recall,F1,Precision_time,Recall_time,F1_time,coverage_mean,extra_ratio_auto
psi,golden,12H,0.875,0.9130434782608695,0.8936170212765957,0.5354745370370371,0.780481632997343,0.6351701532494723,0.7817351930292515,0.464525462962963
psi,seasonal,12H,0.46808510638297873,0.9565217391304348,0.6285714285714286,0.309804324028462,0.9548521783138627,0.46782242150613185,0.9305340886169335,0.6901956759715381
psi,decay,24H,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.37957621082621085,0.8990342035342246,0.5337857294888008,0.895790348678571,0.6204237891737892
psi,golden,24H,0.9523809523809523,0.8695652173913043,0.909090909090909,0.4937363834422658,0.7646240141706381,0.6000231669176416,0.7241325433511929,0.5062636165577342
psi,seasonal,24H,0.6285714285714286,0.9565217391304348,0.7586206896551724,0.29654166666666665,0.9004681371515331,0.4461556142972072,0.8800292719065675,0.7034583333333333
psi,decay,36H,1.0,1.0,1.0,0.36877946127946126,0.9238539074691071,0.5271384052652476,0.9493146036723823,0.6312205387205387
psi,golden,36H,1.0,0.9130434782608695,0.9545454545454545,0.49922453703703706,0.9095567458141791,0.644632422172737,0.8555175201814776,0.5007754629629629
psi,seasonal,36H,0.7586206896551724,0.9565217391304348,0.8461538461538461,0.3046432461873638,0.943570494707098,0.4605819806280944,0.9166164337230416,0.6953567538126362
psi,decay,48H,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.3714484126984127,0.789549154400911,0.5052151502476016,0.6768114944942001,0.6285515873015873
psi,golden,48H,0.9411764705882353,0.6956521739130435,0.7999999999999999,0.4466889880952381,0.7595841592509806,0.5625556371132733,0.598997989671049,0.553311011904762
psi,seasonal,48H,0.68,0.7391304347826086,0.7083333333333334,0.279429012345679,0.7636540002530471,0.40914688569782287,0.6424762505406142,0.720570987654321
psi,decay,6H,0.8148148148148148,0.9565217391304348,0.8800000000000001,0.3760570304818092,0.9677786681287166,0.5416435543071603,0.9374146929929562,0.6239429695181907
psi,golden,6H,0.5121951219512195,0.9130434782608695,0.6562499999999999,0.4866830065359477,0.7537008139682004,0.5914514073902467,0.7577690063683358,0.5133169934640522
psi,seasonal,6H,0.3013698630136986,0.9565217391304348,0.45833333333333326,0.2880492424242424,0.9621483699548733,0.4433636831825558,0.9356309036597598,0.7119507575757575
wasserstein,decay,12H,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.40019338959212375,0.9600185567879888,0.5649017880408482,0.9351836625641371,0.5998066104078762
wasserstein,golden,12H,0.8148148148148148,0.9565217391304348,0.8800000000000001,0.5757830969267139,0.8217493990131163,0.677121162099703,0.8484752089614602,0.4242169030732861
wasserstein,seasonal,12H,0.5,0.9565217391304348,0.6567164179104478,0.3259306987399771,0.9600185567879888,0.48664364891877154,0.9351836625641371,0.674069301260023
wasserstein,decay,24H,1.0,0.9565217391304348,0.9777777777777777,0.3958948663853727,0.9497068870988149,0.5588341129902843,0.9258882582794074,0.6041051336146273
wasserstein,golden,24H,1.0,0.9565217391304348,0.9777777777777777,0.5361511752136752,0.8465901902070769,0.656522379028961,0.85389166130889,0.4638488247863248
wasserstein,seasonal,24H,0.7096774193548387,0.9565217391304348,0.8148148148148149,0.3076879910213244,0.9249715322002446,0.4617700624269668,0.9083262748083331,0.6923120089786756
wasserstein,decay,36H,1.0,1.0,1.0,0.37363636363636366,0.9360212559571507,0.5340809279156791,0.9576602312577912,0.6263636363636363
wasserstein,golden,36H,1.0,0.9565217391304348,0.9777777777777777,0.48782746160794943,0.9110117666905656,0.6354076274801077,0.8989957810510429,0.5121725383920506
wasserstein,seasonal,36H,0.7931034482758621,1.0,0.8846153846153846,0.29639550264550263,0.9450255155834845,0.45125917572071567,0.9600946945926069,0.7036044973544974
wasserstein,decay,48H,0.9473684210526315,0.782608695652174,0.8571428571428571,0.3715376984126984,0.7897389397326136,0.5053365897100295,0.7202897553637654,0.6284623015873015
wasserstein,golden,48H,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.46202876984126984,0.785669098730547,0.5818744045852791,0.6768114944942001,0.5379712301587302
wasserstein,seasonal,48H,0.72,0.782608695652174,0.7499999999999999,0.2709129050925926,0.7897389397326136,0.40343204317523235,0.7202897553637654,0.7290870949074074
wasserstein,decay,6H,0.8148148148148148,0.9565217391304348,0.8800000000000001,0.3910465511382943,0.9707308843996457,0.5575080839519929,0.9388552374817946,0.6089534488617058
wasserstein,golden,6H,0.6470588235294118,0.9565217391304348,0.7719298245614036,0.5614001284521516,0.7372949264054658,0.63743596288126,0.7959423668836341,0.4385998715478484
wasserstein,seasonal,6H,0.3384615384615385,0.9565217391304348,0.5000000000000001,0.3163142620232173,0.965311458816583,0.47649134494280276,0.9310522323728838,0.6836857379767828
