window,strategy,metric,TP_episodes,FP_episodes,FN_episodes,Precision,Recall,F1,manual_total_hours,auto_total_hours,overlap_hours,Precision_time,Recall_time,F1_time,coverage_mean,coverage_median,delay_mean_hours,delay_median_hours,false_alarms_per_day,extra_hours,extra_ratio_auto,drift_group
24H,seasonal,ks,22,14,1,0.6111111111111112,0.9565217391304348,0.7457627118644068,790.3666666666667,2544.0,731.25,0.28744103773584906,0.9252034920501033,0.43861402965080826,0.897591255377642,1.0,6.880303030303031,6.0,0.7000243063995277,1812.75,0.7125589622641509,all
24H,seasonal,psi,22,13,1,0.6285714285714286,0.9565217391304348,0.7586206896551724,790.3666666666667,2400.0,711.7,0.29654166666666665,0.9004681371515331,0.4461556142972072,0.8800292719065675,1.0,7.7689393939393945,6.0,0.6500225702281329,1688.3,0.7034583333333333,all
24H,seasonal,wasserstein,22,9,1,0.7096774193548387,0.9565217391304348,0.8148148148148149,790.3666666666667,2376.0,731.0666666666667,0.3076879910213244,0.9249715322002446,0.4617700624269668,0.9083262748083331,1.0,6.888636363636365,6.0,0.4500156255425536,1644.9333333333334,0.6923120089786756,all
36H,decay,ks,23,0,0,1.0,1.0,1.0,790.3666666666667,2016.0,746.9166666666666,0.3704943783068783,0.9450255155834845,0.532301552422468,0.9600946945926069,1.0,7.362318840579711,6.0,0.0,1269.0833333333333,0.6295056216931217,all
36H,decay,psi,23,0,0,1.0,1.0,1.0,790.3666666666667,1980.0,730.1833333333333,0.36877946127946126,0.9238539074691071,0.5271384052652476,0.9493146036723823,1.0,8.089855072463768,6.0,0.0,1249.8166666666666,0.6312205387205387,all
36H,decay,wasserstein,23,0,0,1.0,1.0,1.0,790.3666666666667,1980.0,739.8,0.37363636363636366,0.9360212559571507,0.5340809279156791,0.9576602312577912,1.0,7.671739130434782,6.0,0.0,1240.2,0.6263636363636363,all
36H,golden,ks,21,0,2,1.0,0.9130434782608695,0.9545454545454545,790.3666666666667,1476.0,718.8833333333333,0.4870483288166215,0.9095567458141791,0.6343927872806695,0.8555175201814776,1.0,7.98888888888889,6.0,0.0,757.1166666666667,0.5129516711833785,all
36H,golden,psi,21,0,2,1.0,0.9130434782608695,0.9545454545454545,790.3666666666667,1440.0,718.8833333333333,0.49922453703703706,0.9095567458141791,0.644632422172737,0.8555175201814776,1.0,7.98888888888889,6.0,0.0,721.1166666666667,0.5007754629629629,all
36H,golden,wasserstein,22,0,1,1.0,0.9565217391304348,0.9777777777777777,790.3666666666667,1476.0,720.0333333333333,0.48782746160794943,0.9110117666905656,0.6354076274801077,0.8989957810510429,1.0,7.898484848484849,6.0,0.0,755.9666666666667,0.5121725383920506,all
36H,seasonal,ks,23,8,0,0.7419354838709677,1.0,0.8518518518518519,790.3666666666667,2700.0,746.9166666666666,0.2766358024691358,0.9450255155834845,0.4279875084757094,0.9600946945926069,1.0,7.362318840579711,6.0,0.4000138893711587,1953.0833333333333,0.7233641975308642,all
36H,seasonal,psi,22,7,1,0.7586206896551724,0.9565217391304348,0.8461538461538461,790.3666666666667,2448.0,745.7666666666667,0.3046432461873638,0.943570494707098,0.4605819806280944,0.9166164337230416,1.0,7.424242424242425,6.0,0.35001215319976386,1702.2333333333333,0.6953567538126362,all
36H,seasonal,wasserstein,23,6,0,0.7931034482758621,1.0,0.8846153846153846,790.3666666666667,2520.0,746.9166666666666,0.29639550264550263,0.9450255155834845,0.45125917572071567,0.9600946945926069,1.0,7.362318840579711,6.0,0.30001041702836906,1773.0833333333333,0.7036044973544974,all
48H,decay,ks,18,1,5,0.9473684210526315,0.782608695652174,0.8571428571428571,790.3666666666667,1680.0,624.1833333333333,0.3715376984126984,0.7897389397326136,0.5053365897100295,0.7202897553637654,1.0,6.0,6.0,0.05000173617139484,1055.8166666666666,0.6284623015873015,all
48H,decay,psi,17,1,6,0.9444444444444444,0.7391304347826086,0.8292682926829269,790.3666666666667,1680.0,624.0333333333333,0.3714484126984127,0.789549154400911,0.5052151502476016,0.6768114944942001,1.0,6.0,6.0,0.05000173617139484,1055.9666666666667,0.6285515873015873,all
48H,decay,wasserstein,18,1,5,0.9473684210526315,0.782608695652174,0.8571428571428571,790.3666666666667,1680.0,624.1833333333333,0.3715376984126984,0.7897389397326136,0.5053365897100295,0.7202897553637654,1.0,6.0,6.0,0.05000173617139484,1055.8166666666666,0.6284623015873015,all
48H,golden,ks,17,1,6,0.9444444444444444,0.7391304347826086,0.8292682926829269,790.3666666666667,1344.0,620.9666666666667,0.46202876984126984,0.785669098730547,0.5818744045852791,0.6768114944942001,1.0,6.0,6.0,0.05000173617139484,723.0333333333333,0.5379712301587302,all
48H,golden,psi,16,1,7,0.9411764705882353,0.6956521739130435,0.7999999999999999,790.3666666666667,1344.0,600.35,0.4466889880952381,0.7595841592509806,0.5625556371132733,0.598997989671049,0.7695353748680043,7.279166666666667,6.0,0.05000173617139484,743.65,0.553311011904762,all
48H,golden,wasserstein,17,1,6,0.9444444444444444,0.7391304347826086,0.8292682926829269,790.3666666666667,1344.0,620.9666666666667,0.46202876984126984,0.785669098730547,0.5818744045852791,0.6768114944942001,1.0,6.0,6.0,0.05000173617139484,723.0333333333333,0.5379712301587302,all
48H,seasonal,ks,18,6,5,0.75,0.782608695652174,0.7659574468085107,790.3666666666667,2496.0,624.1833333333333,0.25007345085470084,0.7897389397326136,0.37986225923258715,0.7202897553637654,1.0,6.0,6.0,0.30001041702836906,1871.8166666666666,0.7499265491452991,all
48H,seasonal,psi,17,8,6,0.68,0.7391304347826086,0.7083333333333334,790.3666666666667,2160.0,603.5666666666667,0.279429012345679,0.7636540002530471,0.40914688569782287,0.6424762505406142,0.8532251834685206,7.203921568627451,6.0,0.4000138893711587,1556.4333333333334,0.720570987654321,all
48H,seasonal,wasserstein,18,7,5,0.72,0.782608695652174,0.7499999999999999,790.3666666666667,2304.0,624.1833333333333,0.2709129050925926,0.7897389397326136,0.40343204317523235,0.7202897553637654,1.0,6.0,6.0,0.35001215319976386,1679.8166666666666,0.7290870949074074,all
6H,decay,ks,22,9,1,0.7096774193548387,0.9565217391304348,0.8148148148148149,790.3666666666667,2046.0,767.2333333333333,0.3749918540241121,0.9707308843996457,0.5409972852593107,0.9388552374817946,1.0,6.5,6.0,0.4500156255425536,1278.7666666666667,0.6250081459758879,all
6H,decay,psi,22,5,1,0.8148148148148148,0.9565217391304348,0.8800000000000001,790.3666666666667,2034.0,764.9,0.3760570304818092,0.9677786681287166,0.5416435543071603,0.9374146929929562,1.0,6.878787878787878,6.0,0.2500086808569742,1269.1,0.6239429695181907,all
6H,decay,wasserstein,22,5,1,0.8148148148148148,0.9565217391304348,0.8800000000000001,790.3666666666667,1962.0,767.2333333333333,0.3910465511382943,0.9707308843996457,0.5575080839519929,0.9388552374817946,1.0,6.5,6.0,0.2500086808569742,1194.7666666666667,0.6089534488617058,all
6H,golden,ks,21,31,2,0.40384615384615385,0.9130434782608695,0.5599999999999999,790.3666666666667,1278.0,636.9166666666666,0.4983698487219614,0.8058496056682553,0.6158643696314322,0.801125643026159,0.9810737736577829,8.10793650793651,6.0,1.55005382131324,641.0833333333334,0.5016301512780386,all
6H,golden,psi,21,20,2,0.5121951219512195,0.9130434782608695,0.6562499999999999,790.3666666666667,1224.0,595.7,0.4866830065359477,0.7537008139682004,0.5914514073902467,0.7577690063683358,0.8428633784373636,8.927777777777779,6.0,1.0000347234278968,628.3,0.5133169934640522,all
6H,golden,wasserstein,22,12,1,0.6470588235294118,0.9565217391304348,0.7719298245614036,790.3666666666667,1038.0,582.7333333333333,0.5614001284521516,0.7372949264054658,0.63743596288126,0.7959423668836341,0.960260363138061,8.845454545454546,6.083333333333334,0.6000208340567381,455.26666666666665,0.4385998715478484,all
6H,seasonal,ks,22,55,1,0.2857142857142857,0.9565217391304348,0.44,790.3666666666667,2694.0,778.2333333333333,0.2888765157139322,0.9846484753911686,0.44670002200304215,0.950805913956844,1.0,6.0,6.0,2.7500954894267164,1915.7666666666667,0.7111234842860678,all
6H,seasonal,psi,22,51,1,0.3013698630136986,0.9565217391304348,0.45833333333333326,790.3666666666667,2640.0,760.45,0.2880492424242424,0.9621483699548733,0.4433636831825558,0.9356309036597598,1.0,6.53560606060606,6.0,2.5500885447411368,1879.55,0.7119507575757575,all
6H,seasonal,wasserstein,22,43,1,0.3384615384615385,0.9565217391304348,0.5000000000000001,790.3666666666667,2412.0,762.95,0.3163142620232173,0.965311458816583,0.47649134494280276,0.9310522323728838,1.0,6.421969696969697,6.0,2.1500746553699783,1649.05,0.6836857379767828,all
12H,decay,ks,15,1,0,0.9375,1.0,0.967741935483871,775.9166666666666,1932.0,744.4666666666667,0.38533471359558313,0.9594672967457846,0.5498445914756116,0.9672816159316769,1.0,7.288888888888889,6.0,0.05000173617139484,1187.5333333333333,0.6146652864044169,gradual
12H,decay,psi,15,2,0,0.8823529411764706,1.0,0.9375,775.9166666666666,1944.0,744.4666666666667,0.38295610425240056,0.9594672967457846,0.5474187321915501,0.9672816159316769,1.0,7.288888888888889,6.0,0.10000347234278968,1199.5333333333333,0.6170438957475994,gradual
12H,decay,wasserstein,15,2,0,0.8823529411764706,1.0,0.9375,775.9166666666666,1896.0,744.4666666666667,0.3926511954992968,0.9594672967457846,0.5572529083367121,0.9672816159316769,1.0,7.288888888888889,6.0,0.10000347234278968,1151.5333333333333,0.6073488045007033,gradual
12H,golden,ks,15,9,0,0.625,1.0,0.7692307692307693,775.9166666666666,1224.0,660.1666666666666,0.5393518518518519,0.8508216088497476,0.6601941747572815,0.8757006370260523,0.9057172829792814,10.071111111111112,9.0,0.4500156255425536,563.8333333333334,0.46064814814814814,gradual
12H,golden,psi,15,8,0,0.6521739130434783,1.0,0.7894736842105263,775.9166666666666,1152.0,604.2333333333333,0.5245081018518518,0.7787348297712383,0.6268251566889993,0.8190405947692047,0.8831553973902728,11.4,9.283333333333333,0.4000138893711587,547.7666666666667,0.47549189814814813,gradual
12H,golden,wasserstein,15,10,0,0.6,1.0,0.7499999999999999,775.9166666666666,1128.0,636.1666666666666,0.5639775413711584,0.819890452153367,0.6682715454983149,0.8547086191985914,0.9057172829792814,10.87111111111111,9.0,0.5000173617139484,491.8333333333333,0.4360224586288416,gradual
12H,seasonal,ks,15,24,0,0.38461538461538464,1.0,0.5555555555555556,775.9166666666666,2496.0,744.4666666666667,0.2982638888888889,0.9594672967457846,0.4550645646028067,0.9672816159316769,1.0,7.288888888888889,6.0,1.2000416681134762,1751.5333333333333,0.7017361111111111,gradual
12H,seasonal,psi,15,26,0,0.36585365853658536,1.0,0.5357142857142857,775.9166666666666,2436.0,740.3833333333333,0.30393404488232073,0.9542047041134143,0.4610227538074359,0.9601522692126314,1.0,7.561111111111112,6.0,1.3000451404562658,1695.6166666666666,0.6960659551176792,gradual
12H,seasonal,wasserstein,15,23,0,0.39473684210526316,1.0,0.5660377358490566,775.9166666666666,2328.0,744.4666666666667,0.31978808705612827,0.9594672967457846,0.47969500899401285,0.9672816159316769,1.0,7.288888888888889,6.0,1.1500399319420813,1583.5333333333333,0.6802119129438717,gradual
24H,decay,ks,15,1,0,0.9375,1.0,0.967741935483871,775.9166666666666,1896.0,736.4166666666666,0.38840541490857944,0.9490924712705402,0.5512272713096092,0.9530286626950915,1.0,6.0,6.0,0.05000173617139484,1159.5833333333333,0.6115945850914205,gradual
24H,decay,psi,15,2,0,0.8823529411764706,1.0,0.9375,775.9166666666666,1872.0,696.3666666666667,0.37199074074074073,0.8974761035334551,0.5259732494099134,0.9068785346404754,1.0,8.67,6.0,0.10000347234278968,1175.6333333333334,0.6280092592592592,gradual
24H,decay,wasserstein,15,1,0,0.9375,1.0,0.967741935483871,775.9166666666666,1896.0,736.4166666666666,0.38840541490857944,0.9490924712705402,0.5512272713096092,0.9530286626950915,1.0,6.0,6.0,0.05000173617139484,1159.5833333333333,0.6115945850914205,gradual
24H,golden,ks,15,3,0,0.8333333333333334,1.0,0.9090909090909091,775.9166666666666,1272.0,670.2,0.5268867924528302,0.863752550746429,0.6545188199389624,0.8788932717372929,0.9634317862165963,7.576666666666666,6.0,0.15000520851418453,601.8,0.4731132075471698,gradual
24H,golden,psi,15,3,0,0.8333333333333334,1.0,0.9090909090909091,775.9166666666666,1224.0,590.8666666666667,0.4827342047930283,0.7615078938889486,0.590891287136964,0.777003233138496,0.7961104140526977,11.265555555555554,6.0,0.15000520851418453,633.1333333333333,0.5172657952069717,gradual
24H,golden,wasserstein,15,3,0,0.8333333333333334,1.0,0.9090909090909091,775.9166666666666,1248.0,654.9166666666666,0.5247729700854701,0.8440554183224144,0.6471775023675217,0.8426338806736313,0.8578431372549019,8.595555555555556,6.0,0.15000520851418453,593.0833333333334,0.4752270299145299,gradual
24H,seasonal,ks,15,15,0,0.5,1.0,0.6666666666666666,775.9166666666666,2544.0,717.05,0.28185927672955974,0.9241327462141553,0.4319686739124977,0.9096399249123844,1.0,7.291111111111111,6.0,0.7500260425709226,1826.95,0.7181407232704402,gradual
24H,seasonal,psi,15,14,0,0.5172413793103449,1.0,0.6818181818181819,775.9166666666666,2400.0,697.5,0.290625,0.898936741488562,0.4392432630998924,0.8827115502567369,1.0,8.594444444444445,6.0,0.7000243063995277,1702.5,0.709375,gradual
24H,seasonal,wasserstein,15,10,0,0.6,1.0,0.7499999999999999,775.9166666666666,2376.0,716.8666666666667,0.30171156004489336,0.9238964665449468,0.45487666234830654,0.9261002880394441,1.0,7.303333333333333,6.0,0.5000173617139484,1659.1333333333334,0.6982884399551066,gradual
36H,decay,ks,15,1,0,0.9375,1.0,0.967741935483871,775.9166666666666,2016.0,732.4666666666667,0.3633267195767196,0.9440017183975943,0.5247052502760947,0.9388118650419971,1.0,8.088888888888889,6.0,0.05000173617139484,1283.5333333333333,0.6366732804232804,gradual
36H,decay,psi,15,1,0,0.9375,1.0,0.967741935483871,775.9166666666666,1980.0,715.7333333333333,0.36148148148148146,0.92243582858984,0.5194158023646095,0.9222823922976529,1.0,9.204444444444444,6.0,0.05000173617139484,1264.2666666666667,0.6385185185185185,gradual
36H,decay,wasserstein,15,1,0,0.9375,1.0,0.967741935483871,775.9166666666666,1980.0,725.35,0.36633838383838385,0.9348297712383202,0.5263947264975356,0.9350790212619465,1.0,8.563333333333333,6.0,0.05000173617139484,1254.65,0.6336616161616162,gradual
36H,golden,ks,15,2,0,0.8823529411764706,1.0,0.9375,775.9166666666666,1476.0,706.0666666666667,0.4783649503161698,0.9099774460315756,0.6270806350146171,0.9117935309449324,0.9958932238193019,8.784444444444443,6.0,0.10000347234278968,769.9333333333333,0.5216350496838301,gradual
36H,golden,psi,15,2,0,0.8823529411764706,1.0,0.9375,775.9166666666666,1440.0,706.0666666666667,0.4903240740740741,0.9099774460315756,0.6372682486555602,0.9117935309449324,0.9958932238193019,8.784444444444443,6.0,0.10000347234278968,733.9333333333333,0.5096759259259259,gradual
36H,golden,wasserstein,15,3,0,0.8333333333333334,1.0,0.9090909090909091,775.9166666666666,1476.0,706.0666666666667,0.4783649503161698,0.9099774460315756,0.6270806350146171,0.9117935309449324,0.9958932238193019,8.784444444444443,6.0,0.15000520851418453,769.9333333333333,0.5216350496838301,gradual
36H,seasonal,ks,15,9,0,0.625,1.0,0.7692307692307693,775.9166666666666,2700.0,732.4666666666667,0.27128395061728394,0.9440017183975943,0.42145237467334756,0.9388118650419971,1.0,8.088888888888889,6.0,0.4500156255425536,1967.5333333333333,0.7287160493827161,gradual
36H,seasonal,psi,15,8,0,0.6521739130434783,1.0,0.7894736842105263,775.9166666666666,2448.0,732.4666666666667,0.29921023965141613,0.9440017183975943,0.454395533383307,0.9388118650419971,1.0,8.088888888888889,6.0,0.4000138893711587,1715.5333333333333,0.7007897603485839,gradual
36H,seasonal,wasserstein,15,7,0,0.6818181818181818,1.0,0.8108108108108109,775.9166666666666,2520.0,732.4666666666667,0.2906613756613757,0.9440017183975943,0.44446916639275874,0.9388118650419971,1.0,8.088888888888889,6.0,0.35001215319976386,1787.5333333333333,0.7093386243386244,gradual
48H,decay,ks,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,775.9166666666666,1680.0,618.9333333333333,0.3684126984126984,0.7976801632477715,0.5040344745682196,0.7711109582244402,1.0,6.0,6.0,0.05000173617139484,1061.0666666666666,0.6315873015873016,gradual
48H,decay,psi,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,775.9166666666666,1680.0,618.9333333333333,0.3684126984126984,0.7976801632477715,0.5040344745682196,0.7711109582244402,1.0,6.0,6.0,0.05000173617139484,1061.0666666666666,0.6315873015873016,gradual
48H,decay,wasserstein,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,775.9166666666666,1680.0,618.9333333333333,0.3684126984126984,0.7976801632477715,0.5040344745682196,0.7711109582244402,1.0,6.0,6.0,0.05000173617139484,1061.0666666666666,0.6315873015873016,gradual
48H,golden,ks,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,775.9166666666666,1344.0,618.9333333333333,0.460515873015873,0.7976801632477715,0.583922323990723,0.7711109582244402,1.0,6.0,6.0,0.05000173617139484,725.0666666666667,0.539484126984127,gradual
48H,golden,psi,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,775.9166666666666,1344.0,598.4666666666667,0.4452876984126984,0.7713027601761357,0.5646133888910728,0.7184635841622752,0.8532251834685206,7.574358974358974,6.0,0.05000173617139484,745.5333333333333,0.5547123015873016,gradual
48H,golden,wasserstein,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,775.9166666666666,1344.0,618.9333333333333,0.460515873015873,0.7976801632477715,0.583922323990723,0.7711109582244402,1.0,6.0,6.0,0.05000173617139484,725.0666666666667,0.539484126984127,gradual
48H,seasonal,ks,13,6,2,0.6842105263157895,0.8666666666666667,0.7647058823529413,775.9166666666666,2496.0,618.9333333333333,0.24797008547008548,0.7976801632477715,0.37833074395741534,0.7711109582244402,1.0,6.0,6.0,0.30001041702836906,1877.0666666666666,0.7520299145299145,gradual
48H,seasonal,psi,13,8,2,0.6190476190476191,0.8666666666666667,0.7222222222222222,775.9166666666666,2160.0,598.4666666666667,0.2770679012345679,0.7713027601761357,0.40768641253441573,0.7184635841622752,0.8532251834685206,7.574358974358974,6.0,0.4000138893711587,1561.5333333333333,0.7229320987654321,gradual
48H,seasonal,wasserstein,13,7,2,0.65,0.8666666666666667,0.7428571428571429,775.9166666666666,2304.0,618.9333333333333,0.26863425925925927,0.7976801632477715,0.4019156362455694,0.7711109582244402,1.0,6.0,6.0,0.35001215319976386,1685.0666666666666,0.7313657407407408,gradual
6H,decay,ks,15,10,0,0.6,1.0,0.7499999999999999,775.9166666666666,2046.0,752.9333333333333,0.36800260671228413,0.9703791214692299,0.5336325783303311,0.9729113641387516,1.0,6.733333333333333,6.0,0.5000173617139484,1293.0666666666666,0.6319973932877159,gradual
6H,decay,psi,15,6,0,0.7142857142857143,1.0,0.8333333333333333,775.9166666666666,2034.0,750.6,0.36902654867256635,0.9673719256793041,0.5342507191790978,0.9707025292558662,1.0,7.288888888888889,6.0,0.30001041702836906,1283.4,0.6309734513274337,gradual
6H,decay,wasserstein,15,6,0,0.7142857142857143,1.0,0.8333333333333333,775.9166666666666,1962.0,752.9333333333333,0.3837580699966021,0.9703791214692299,0.5500045655151423,0.9729113641387516,1.0,6.733333333333333,6.0,0.30001041702836906,1209.0666666666666,0.6162419300033979,gradual
6H,golden,ks,15,36,0,0.29411764705882354,1.0,0.45454545454545453,775.9166666666666,1278.0,624.0833333333334,0.4883281168492436,0.8043174739555364,0.6077007343692945,0.848772618097796,0.9679752066115702,8.885555555555555,6.0,1.8000625021702144,653.9166666666666,0.5116718831507564,gradual
6H,golden,psi,15,25,0,0.375,1.0,0.5454545454545454,775.9166666666666,1224.0,582.8666666666667,0.47619825708061003,0.7511975083234883,0.5828909537897412,0.7822924418891339,0.8420239474700657,10.033333333333333,6.816666666666666,1.250043404284871,641.1333333333333,0.52380174291939,gradual
6H,golden,wasserstein,15,18,0,0.45454545454545453,1.0,0.625,775.9166666666666,1038.0,569.75,0.5488921001926782,0.7342927719901192,0.6281986493315569,0.7741582613459248,0.8420239474700657,10.107777777777779,7.116666666666666,0.9000312510851072,468.25,0.4511078998073218,gradual
6H,seasonal,ks,15,56,0,0.2112676056338028,1.0,0.3488372093023256,775.9166666666666,2694.0,763.9333333333333,0.2835684236575105,0.9845559016217378,0.4403179711328322,0.9912357347338275,1.0,6.0,6.0,2.800097225598111,1930.0666666666666,0.7164315763424894,gradual
6H,seasonal,psi,15,52,0,0.22388059701492538,1.0,0.36585365853658536,775.9166666666666,2640.0,746.15,0.2826325757575758,0.9616367737085169,0.4368666292600815,0.9679673856116316,1.0,6.785555555555556,6.0,2.6000902809125317,1893.85,0.7173674242424243,gradual
6H,seasonal,wasserstein,15,44,0,0.2542372881355932,1.0,0.4054054054054054,775.9166666666666,2412.0,748.65,0.31038557213930346,0.9648587691977232,0.46967978042086,0.9609467563050884,1.0,6.618888888888889,6.0,2.2000763915413732,1663.35,0.6896144278606965,gradual
12H,decay,ks,7,7,1,0.5,0.875,0.6363636363636364,14.45,1932.0,14.3,0.007401656314699793,0.9896193771626297,0.01469341621927098,0.875,1.0,6.0,6.0,0.35001215319976386,1917.7,0.9925983436853002,abrupt
12H,decay,psi,7,8,1,0.4666666666666667,0.875,0.608695652173913,14.45,1944.0,14.3,0.0073559670781893,0.9896193771626297,0.014603385330235644,0.875,1.0,6.0,6.0,0.4000138893711587,1929.7,0.9926440329218107,abrupt
12H,decay,wasserstein,7,8,1,0.4666666666666667,0.875,0.608695652173913,14.45,1896.0,14.3,0.007542194092827004,0.9896193771626297,0.014970294956685597,0.875,1.0,6.0,6.0,0.4000138893711587,1881.7,0.992457805907173,abrupt
12H,golden,ks,7,19,1,0.2692307692307692,0.875,0.411764705882353,14.45,1224.0,13.316666666666666,0.01087962962962963,0.9215686274509803,0.02150537634408602,0.8367875647668394,1.0,6.140476190476191,6.0,0.950032987256502,1210.6833333333334,0.9891203703703704,abrupt
12H,golden,psi,6,18,2,0.25,0.75,0.375,14.45,1152.0,12.633333333333333,0.010966435185185185,0.8742791234140715,0.02166116564504837,0.7117875647668394,1.0,6.163888888888889,6.0,0.9000312510851072,1139.3666666666666,0.9890335648148149,abrupt
12H,golden,wasserstein,7,20,1,0.25925925925925924,0.875,0.39999999999999997,14.45,1128.0,13.316666666666666,0.011805555555555555,0.9215686274509803,0.02331247173472216,0.8367875647668394,1.0,6.140476190476191,6.0,1.0000347234278968,1114.6833333333334,0.9881944444444445,abrupt
12H,seasonal,ks,7,30,1,0.1891891891891892,0.875,0.3111111111111111,14.45,2496.0,14.3,0.005729166666666666,0.9896193771626297,0.01139237985221773,0.875,1.0,6.0,6.0,1.5000520851418453,2481.7,0.9942708333333333,abrupt
12H,seasonal,psi,7,32,1,0.1794871794871795,0.875,0.2978723404255319,14.45,2436.0,14.3,0.005870279146141215,0.9896193771626297,0.011671325674876044,0.875,1.0,6.0,6.0,1.600055557484635,2421.7,0.9941297208538588,abrupt
12H,seasonal,wasserstein,7,29,1,0.19444444444444445,0.875,0.3181818181818182,14.45,2328.0,14.3,0.006142611683848797,0.9896193771626297,0.012209438835407371,0.875,1.0,6.0,6.0,1.4500503489704504,2313.7,0.9938573883161512,abrupt
